id,name,rank,year_published,num_user_ratings
TAAifFP590,Root,1,2018,249
RLlDWHh7hR,Gloomhaven,2,2017,324
yqR4PtpO8X,Scythe,3,2016,527
5H5JS0KLzK,Wingspan,4,2019,338
fDn9rQjH9O,Terraforming Mars,5,2016,464
i5Oqu5VZgP,Azul,6,2017,518
7NYbgH2Z2I,Viticulture: Essential Edition,7,2015,346
kPDxpJZ8PD,Spirit Island,8,2016,286
6FmFeux5xH,Pandemic,9,2008,675
GP7Y2xOUzj,Codenames,10,2015,616
OF145SrX44,7 Wonders,11,2010,589
j8LdPFmePE,7 Wonders Duel,12,2015,462
oGVgRSAKwX,Carcassonne,13,2000,613
VNBC6yq1WO,The Castles of Burgundy,14,2011,402
mce5HZPnF5,Pandemic Legacy: Season 1,15,2015,332
FCuXPSfhDR,Concordia,16,2013,292
O0G8z5Wgz1,Splendor,17,2014,513
AuBvbISHR6,Ticket To Ride,18,2004,521
E4ELA8cG85,Race for the Galaxy,19,2007,315
VibNUMwsqr,Santorini,20,2016,328
3IPVIROfvl,Brass: Birmingham,21,2018,158
8xos44jY7Q,Everdell,22,2018,149
9iBOPn3lES,Patchwork,23,2014,389
OIXt3DmJU0,Catan,24,1995,601
eh0GTvESIX,Jaipur,25,2009,383
BBg2uXXdB8,Kingdomino,26,2016,366
wkBw955xS3,Great Western Trail,27,2016,259
Y2WacykMm5,King of Tokyo,28,2011,471
T5lx9elSDt,Love Letter,29,2012,460
1dWE5BIcOm,Star Realms,30,2014,371
M7r9tO1GbX,The Quacks of Quedlinburg,31,2018,202
axOr9uuOwN,Lords of Waterdeep,32,2012,372
omFfdCNOD1,Architects of the West Kingdom,33,2018,184
8YoVXov23k,Clans of Caledonia,34,2017,154
I77I9HybTm,Welcome to...,35,2018,198
07FXm6tX4o,Clank! A Deck-Building Adventure,36,2012,295
FldbgzsTYH,Blood Rage,37,2015,295
k7pnwdyDfC,Puerto Rico,38,2002,309
8UmzC1ZGGE,Small World,39,2009,399
y56td93iXw,Dead of Winter: A Crossroads Game,40,2014,326
4rn2FX1Eon,Forbidden Island,41,2010,403
pSY1hWs5YH,Orléans,42,2014,222
6VQXkkC5ql,Dominion: Second Edition,43,2016,247
4G32qGJZWs,Arkham Horror: The Card Game,44,2016,223
mJr3oebP6p,Sagrada,45,2017,277
sMTDq4Zeif,Five Tribes,46,2014,282
aD2aeY8DEP,Tzolk'in: The Mayan Calendar,47,2012,232
61SwzHG7fB,Sushi Go!,48,2013,354
LTnLSWIcbH,Lost Cities,49,1999,305
GJ94Cl7cz5,Ticket to Ride: Europe,50,2005,323
Qq2rPNOpoO,Star Wars: Rebellion,51,2016,169
1sQP1kNHja,Roll For The Galaxy,52,2014,269
Meszt3IFfX,Power Grid,53,2004,302
3tAwjRDw8q,Raiders of the North Sea,54,2015,188
19C9ka2hEx,Coup,55,2012,368
30ltPnwaqy,Robinson Crusoe: Adventures on the Cursed Island,56,2012,219
KpKepc41At,Sushi Go Party!,57,2016,269
pPZnlKC4G3,Inis,58,2016,151
H3yXWu5No0,Dixit,59,2008,339
fGZawn3ipZ,Hanabi,60,2010,350
M5treAlrHc,Agricola (Revised Edition),61,2016,216
ilkKd5gDhg,A Feast For Odin,62,2016,173
FVKaz7JhBO,Cosmic Encounter,63,2008,261
sxLwbJHu77,Terra Mystica,64,2012,227
nRGa6zZTQu,Twilight Struggle,65,2005,222
inwR6DF3Lx,Star Wars Imperial Assault,66,2014,163
YL5DYnG28Y,The Resistance,67,2009,310
wrEoWdWxVq,Takenoko,68,2011,291
BUDJJb08Uj,Stone Age,69,2008,260
yPwGVk8lB2,Gaia Project,70,2017,113
0z7S887o3b,Sheriff of Nottingham,71,2014,302
nHJNyAWsoo,Mysterium,72,2015,275
3RVcHxhPEZ,Betrayal at House on the Hill,73,2004,309
8t0Cstr6oX,Forbidden Desert,74,2013,293
lDg8hjuvRb,Keyflower,75,2012,183
exdy1Z2bSC,Mage Knight,76,2011,176
zBikUpC51l,Champions of Midgard,77,2015,178
Rq3eREYb0e,The Mind,78,2018,246
Zspd2nNHfz,Mansions of Madness: Second Edition,79,2016,198
b1nBQaNdH6,Istanbul,80,2014,214
0DAMHQym7H,Caverna: The Cave Farmers,81,2013,207
fxxi8zX7L9,Suburbia,82,2012,227
v9ThnzqnW5,Pax Pamir (Second Edition),83,2019,49
vBBhuJjFVE,Food Chain Magnate,84,2015,145
VCoAcOrQX6,Deception: Murder in Hong Kong,85,2014,212
DMR3bbyxu2,For Sale,86,1997,239
DMR3bbyxu2,For Sale,86,1997,239
E35EBpxuDX,Century: Spice Road,87,2017,219
8YYQ8Q3dGv,Arboretum,88,2015,207
mAcwRkACI5,Teotihuacan: City of Gods,89,2018,127
qYpZFGkKyD,Onitama,90,2014,211
D0OHY8b8Oc,Hive,91,2001,223
rIuNKFl5nr,Isle of Skye: From Chieftain to King,92,2015,220
K92cryrFW5,Skull,93,2011,194
jgUiAHDCTK,Captain Sonar,94,2016,201
unQAllLRup,The Resistance: Avalon,95,2012,225
qZ7XdSFpaI,Magic: The Gathering,96,1993,209
F1aw7kyGTA,Bohnanza,97,1997,246
F1aw7kyGTA,Bohnanza,97,1997,246
