,HaJzwUu0aB,PDxMkXM0MW,HnrbYX2qhH,wUmCpB8cDW,EL3YmDLY6W,AFPgt1mPDI,OIXt3DmJU0,gKb4o7jI3E,dgZDurgbuY,2anJuFWYTH,I77I9HybTm,iEEoo9hTRo,xc8SQv6LCk,rJltte4DX0,MURsLdicCI,xGn6ak2zxy,tbnumPfDrY,tSmORkUDva,xISAmUT0Lx,pmf8XNImHE,unMxq0jVdk,fq9A2efr1B,CuQaBK6GOZ,OjnIlRYK2S,oi6gk3J3n6,SYX6UR0oNr,CTtmagNQ43,c8GZuHvTlK,8ilLNHoAX3,oF83oEFLg8,Ba7UblK39S,MowtXhABOD,y56td93iXw,RvQRrz0gEL,BdZqeaimZH,3RVcHxhPEZ,qAUo1yn0pG,9E9xjlhyKW,sOC4PMWhs0,E2BDGzVGho,kKOxQBOpW0,R1rgL6TuoW,sai4rM5fOu,8RTSFgOIQ0,Q3EWjC8Dm7,FTbp2nrk8T,oGVgRSAKwX,NPJFZ6HY8k,VO7TAxQ5Qn,EPRL83Yy4x,hRxHwWFrWn,qiLzHpOkeN,HNXzCaER4a,SmR2m6ch0r,ojyWwY8ZYm,qnUjUYhhcF,EmYyVC14DP,MQcEH8C8Aa,FD8CqReNt1,cODAEDHx5x,40Qb0frFQo,1dWE5BIcOm,AaRXSVtjLn,tZFEUEY6qQ,Hr5wNLXYQd,vrAY5jieSS,ulNR7xR5Fp,6FmFeux5xH,2wHXbYpNDE,9sHRHMXnJY,uw69CrJFCL,YIBcOZqGkI,4bnR8NO0Pr,g9vKYGP14R,zZ4HAe1GOs,pq2KWHjBvT,AFrJbqm2ir,SVGrwhoy7s,CqocZK7pu6,HtvoF06GIR,HyA1iVA8X2,1AX7Ph9iKm,Z4kKbbiKK2,dMesYANamq,WCk1e4pjrp,AuBvbISHR6,eLwYgoXZwO,6507yfEQMq,JcS1q1gCHc,yh0F20F0xx,LZM8VP9UpT,AA2cjygg8B,y3WGl0j2FA,YZYf5ea74i,i5Oqu5VZgP,Sb1CIhPwOu,cQQkIE9yKJ,sxLwbJHu77,hYAzLYWwFa,zP1jQ8Ueb4,if0wZ9AwSv,Y2WacykMm5,pZi0G5dOfh,O18DoNYR4M,IS4t5x3Ov3,Otyd5eddHd,51qnzEoFUi,EEVaaBgg7I,CjF15ZmFEa,wmpX4Cg4Ms,QR88sdDvXX,0zHwJuWI4D,mHJ9Z3sGPo,Gpl2rlNV4F,Z8HCHrXLHD,Bwawckx54U,g8GGQ9Xjoo,PgBxjxQtVL,Ksm6E4tbBf,0sNWtYw29o,H29lsC6Bjn,Oyfx6iH2n4,4rn2FX1Eon,3Ayj28wWBH,Nx50KS7EWl,a17hwVmwdO,DMR3bbyxu2,E4ELA8cG85,BUDJJb08Uj,VtoOhDHEFA,W7D9G6rFzg,ABjr0oVsmc,YixemhFia7,L81aIpfbwt,D0OHY8b8Oc,cPZ8oOzPxS,oDWSfnXNdt,CWSJ50RP4A,Y9dmAfl7NZ,WVgc4bUL8N,XZ9BeWAgCu,GGwRDABj7L,ADLtV5U2xr,XQ2bKWvy2R,IvNFcbT06R,PK2vgxUzEF,jvj31CHwLp,M9xcYNHOGp,GeEOxMf4yZ,LxkdWU9Juy,levMwXaCM6,3dkOH6hS36,Vim15knrEd,tFdg8NYGc5,3A0PU8a9GD,haKYguDrLr,G0oa0arGbg,D7v1BKc4qI,JOHEqXsLNB,sD3PVFsoSh,9Bl6WNhuc6,tMDKuqGChG,3vkFypDyMU,MG62HXQUFV,0t03GzsO47,VNBC6yq1WO,6nl57UNDFG,VHgGqzjzGq,lPmrDkMTBX,ApSXoXA1Gs,a0YE4GYXf5,fGZawn3ipZ,omFfdCNOD1,UFKl6iVADx,VJBrQEmyNc,xetNswpgzl,YDr6ZHfkja,Rq3eREYb0e,XYDvMvfbVj,Qqjo8aF5fj,KEwPXIcfjq,1AcsjmUS3F,AmxgFMZYQM,w3Yq6jjvm0,GTEjjzsJtC,2e7YkCwYCY,SLqg3BOVwp,bzQ67WG6xD,nBNkI7jwUm,9PfvxBFXQm,sflncdeFLT,bJLXaNoa2W,cBmvoPIc6d,CKAlXGzTxD,9FQI6tWqfN,RROrFh9dPO,ADaXhNKPlp,E3BD2egiOX,SEKx2bcv5h,YURmzRATKQ,Vc34p0p6vF,8DyFK4lGcO,fjEr4WSlRJ,SfyMuhX6LO,dFC1lnGINr,88ZDb8829K,Mk8HJzNmQK,L217qlAt2G,GbYJ0TQBBV,fQ8NGxSBVH,TPgmEwDgyX,WhPRQc1nEZ,ZcErIKkeOJ,ESo5hvCkwa,poOCA6P4XA,MzigPlstsJ,U7vBCUPQw6,jOr4mS1C4H,8U5ChHkcoJ,CjHL6ZJPMT,fDn9rQjH9O,mve7JGS0zM,ML5QO0mPpJ,RLlDWHh7hR,GJ94Cl7cz5,e9D9i2fESi,F0TIZSS4Iw,gEOfDGBHe5,E6f0In4pFs,RKBXfWcCjP,3L5TmRpY56,OkrapKvy8z,Zf8QSxMtJx,80whsELHHo,GP7Y2xOUzj,B8AeSW2TWP,9TtrGdI7CQ,D4VUvACEYi,61SwzHG7fB,Q8eWeVhHfW,6gnkZbB1eU,s8wSChmBTN,SL8P30lCqV,axOr9uuOwN,liDOjtmpFp,Hkx63V3Zda,B2JB5qrBka,5n5G4CNXuZ,h6oBJkJlxa,pSY1hWs5YH,fUJpAI9Wha,nHJNyAWsoo,UMsW5U0rCk,gfcOYEnOG4,esVg9eV5Ue,Meszt3IFfX,nlcJOyC0SG,9CSmAJHQ2i,jBBIIYQmED,DYkUpDHWLO,qokh2uvIjW,5ygNA78TL1,M7r9tO1GbX,bBQVNekyRm,kYYG71l3We,Z8E2tdCwbm,WyoaaHjO0r,F1aw7kyGTA,Ej7aFTs5Nj,Yzurao9vqw,eoPnHi6OL6,KiFtnFIIjd,lQ81luXhHD,dfjoaijLcJ,eh0GTvESIX,esKU38B2OY,8UmzC1ZGGE,5H5JS0KLzK,8xos44jY7Q,7NYbgH2Z2I,WabPfVLtwx,AYyVc4yRtU
aubreyr,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macedosoares,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noff,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoppities,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praquilone,,,,,,,,,,,,,,5.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,2.0,3.0,1.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lievendv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,3.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almondropie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fultoky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbrady748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,3.0,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,4.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
